foil_ID, species, incident energy [keV], kF [keV*degrees], sig_kF [keV*degrees], psi_half [degrees], sigma [degrees], sig_sigma [degrees], kappa, sig_kappa
B10a, H, 10.000000, 23.481129, 1.385771, 2.342656, 2.579307, 0.004192, 2.048697, 0.005126
B10a, H, 5.000000, 23.481129, 1.385771, 4.684314, 5.158037, 0.006618, 2.050896, 0.004585
B10a, H, 7.000000, 23.481129, 1.385771, 3.295326, 3.628382, 0.005818, 2.049724, 0.005302
B15a, H, 10.000000, 36.706184, 4.309705, 3.611174, 3.959053, 0.009508, 1.955763, 0.007689
B15a, H, 2.000000, 36.706184, 4.309705, 16.783001, 18.441224, 0.027520, 2.003536, 0.010935
B15a, H, 3.000000, 36.706184, 4.309705, 11.687831, 12.922658, 0.024082, 2.149622, 0.010757
B15a, H, 5.000000, 36.706184, 4.309705, 6.974800, 7.692113, 0.013467, 2.086547, 0.007319
B15a, H, 7.000000, 36.706184, 4.309705, 5.257702, 5.788977, 0.010103, 2.049184, 0.006184
B20a, H, 10.000000, 28.678566, 2.117452, 2.762014, 3.041048, 0.006047, 2.048803, 0.006366
B20a, H, 3.000000, 28.678566, 2.117452, 9.558991, 10.642052, 0.022449, 2.338691, 0.012447
B20a, H, 5.000000, 28.678566, 2.117452, 5.741123, 6.371421, 0.009420, 2.248462, 0.006424
B20a, H, 7.000000, 28.678566, 2.117452, 4.018663, 4.425108, 0.007905, 2.060623, 0.006313
B10a, He, 10.000000, 42.675320, 2.703669, 4.363480, 4.804492, 0.005060, 2.049649, 0.003528
B10a, He, 15.000000, 42.675320, 2.703669, 2.900049, 3.179795, 0.003310, 1.957782, 0.003127
B10a, He, 20.000000, 42.675320, 2.703669, 2.197196, 2.419219, 0.001765, 2.049212, 0.002306
B10a, He, 2.000000, 42.675320, 2.703669, 19.073120, 21.213917, 0.024142, 2.319029, 0.011578
B10a, He, 3.000000, 42.675320, 2.703669, 13.448606, 14.807994, 0.015554, 2.049940, 0.006093
B10a, He, 4.000000, 42.675320, 2.703669, 10.392897, 11.391211, 0.009918, 1.950396, 0.003875
B10a, He, 5.000000, 42.675320, 2.703669, 8.383950, 9.231075, 0.029854, 2.049081, 0.014362
B10a, He, 7.000000, 42.675320, 2.703669, 6.139075, 6.757789, 0.015439, 2.043597, 0.008456
B15a, He, 10.000000, 69.730751, 8.998856, 7.222275, 7.876821, 0.008720, 1.853030, 0.003674
B15a, He, 15.000000, 69.730751, 8.998856, 4.858348, 5.325048, 0.005538, 1.950446, 0.003247
B15a, He, 20.000000, 69.730751, 8.998856, 3.744316, 4.103871, 0.003672, 1.949795, 0.002597
B15a, He, 3.000000, 69.730751, 8.998856, 20.587063, 22.448404, 0.030098, 1.850831, 0.009657
B15a, He, 4.000000, 69.730751, 8.998856, 16.961489, 18.405407, 0.022524, 1.769600, 0.006445
B15a, He, 5.000000, 69.730751, 8.998856, 13.616778, 14.858592, 0.048805, 1.873654, 0.017050
B15a, He, 7.000000, 69.730751, 8.998856, 10.025764, 10.910396, 0.020160, 1.820017, 0.007097
B20a, He, 10.000000, 54.772621, 2.214504, 5.510127, 6.067175, 0.007115, 2.050197, 0.004221
B20a, He, 15.000000, 54.772621, 2.214504, 3.800410, 4.184601, 0.004621, 2.050165, 0.003649
B20a, He, 20.000000, 54.772621, 2.214504, 2.686568, 2.957806, 0.002412, 2.047351, 0.002486
B20a, He, 2.000000, 54.772621, 2.214504, 24.663834, 27.840608, 0.031894, 2.848352, 0.022604
B20a, He, 3.000000, 54.772621, 2.214504, 17.242019, 19.042325, 0.023550, 2.127465, 0.009550
B20a, He, 4.000000, 54.772621, 2.214504, 13.518955, 14.817311, 0.017405, 1.950044, 0.005872
B20a, He, 5.000000, 54.772621, 2.214504, 11.076998, 12.247492, 0.047043, 2.150028, 0.022621
B20a, He, 7.000000, 54.772621, 2.214504, 7.907735, 8.704906, 0.021457, 2.044183, 0.010177
B10a, Ne, 10.000000, 143.823395, 18.736403, 14.702504, 15.939958, 0.025835, 1.748769, 0.007472
B10a, Ne, 15.000000, 143.823395, 18.736403, 10.814889, 11.773930, 0.019033, 1.820642, 0.006823
B10a, Ne, 20.000000, 143.823395, 18.736403, 8.082199, 8.758211, 0.015185, 1.740639, 0.005325
B10a, Ne, 5.000000, 143.823395, 18.736403, 23.958270, 26.936621, 0.053948, 2.679531, 0.034012
B10a, Ne, 7.000000, 143.823395, 18.736403, 19.035329, 20.815617, 0.035751, 1.910627, 0.012511
B15a, Ne, 10.000000, 224.754501, 44.478115, 21.559296, 24.170283, 0.053316, 2.584196, 0.032498
B15a, Ne, 15.000000, 224.754501, 44.478115, 17.265448, 19.137076, 0.037059, 2.227274, 0.016603
B15a, Ne, 20.000000, 224.754501, 44.478115, 13.225004, 14.159540, 0.026153, 1.588560, 0.006723
B15a, Ne, 7.000000, 224.754501, 44.478115, 24.683504, 28.056699, 0.085978, 3.216931, 0.077634
B20a, Ne, 10.000000, 198.619568, 11.905387, 18.539407, 20.473060, 0.040905, 2.129050, 0.017007
B20a, Ne, 15.000000, 198.619568, 11.905387, 13.628504, 14.937451, 0.029010, 1.950140, 0.010926
B20a, Ne, 20.000000, 198.619568, 11.905387, 10.337143, 11.207404, 0.019969, 1.749038, 0.006452
B10a, Ar, 10.000000, 243.599060, 33.487698, 20.246806, 22.793522, 0.011047, 2.737341, 0.007101
B10a, Ar, 15.000000, 243.599060, 33.487698, 15.212936, 16.752225, 0.020864, 2.051648, 0.007968
B10a, Ar, 20.000000, 243.599060, 33.487698, 12.310298, 13.492304, 0.016590, 1.949621, 0.006048
B10a, Ar, 30.000000, 243.599060, 33.487698, 9.135048, 10.058385, 0.015358, 2.049842, 0.007457
B15a, Ar, 15.000000, 421.415314, 103.433685, 22.900563, 26.043860, 0.049638, 3.247495, 0.040820
B15a, Ar, 20.000000, 421.415314, 103.433685, 19.560543, 21.588950, 0.035226, 2.111654, 0.015234
B15a, Ar, 30.000000, 421.415314, 103.433685, 15.449556, 17.015073, 0.018617, 2.054352, 0.007145
B15a, Ar, 40.000000, 421.415314, 103.433685, 12.990199, 14.457021, 0.033061, 2.333393, 0.017976
B15a, Ar, 50.000000, 421.415314, 103.433685, 10.355550, 11.292713, 0.024722, 1.850762, 0.009869
B20a, Ar, 15.000000, 340.744965, 57.277641, 20.121062, 22.709246, 0.048335, 2.844282, 0.034265
B20a, Ar, 20.000000, 340.744965, 57.277641, 17.500483, 19.904023, 0.026900, 3.251648, 0.028443
B20a, Ar, 30.000000, 340.744965, 57.277641, 12.067173, 13.332559, 0.021193, 2.131876, 0.009493
B20a, Ar, 40.000000, 340.744965, 57.277641, 10.115983, 11.228178, 0.023980, 2.252381, 0.013725
B20a, Ar, 50.000000, 340.744965, 57.277641, 8.198342, 9.130740, 0.023867, 2.351337, 0.017328
B10a, N, 10.000000, 122.203011, 11.324994, 11.923177, 12.836599, 0.014105, 1.640473, 0.003739
B10a, N, 15.000000, 122.203011, 11.324994, 8.183280, 8.817656, 0.011219, 1.652489, 0.003379
B10a, N, 20.000000, 122.203011, 11.324994, 6.245430, 6.728628, 0.012113, 1.650895, 0.004529
B10a, N, 50.000000, 122.203011, 11.324994, 2.831199, 3.087682, 0.010871, 1.852217, 0.010040
B10a, N, 5.000000, 122.203011, 11.324994, 20.952131, 23.654942, 0.058615, 2.860101, 0.041900
B10a, N, 7.000000, 122.203011, 11.324994, 16.577899, 18.210172, 0.018051, 1.997394, 0.006949
B15a, N, 10.000000, 213.558167, 25.581604, 19.218347, 20.775674, 0.039618, 1.707938, 0.011536
B15a, N, 15.000000, 213.558167, 25.581604, 14.054129, 15.030641, 0.024613, 1.549967, 0.005755
B15a, N, 20.000000, 213.558167, 25.581604, 10.832778, 11.557516, 0.020947, 1.520359, 0.005051
B15a, N, 50.000000, 213.558167, 25.581604, 4.919864, 5.362417, 0.020691, 1.841563, 0.011580
B15a, N, 7.000000, 213.558167, 25.581604, 23.995462, 27.289690, 0.035593, 3.248839, 0.032790
B20a, N, 10.000000, 165.935745, 14.844070, 15.484282, 16.687284, 0.028841, 1.654536, 0.007113
B20a, N, 15.000000, 165.935745, 14.844070, 11.139347, 11.913412, 0.016761, 1.550041, 0.004305
B20a, N, 20.000000, 165.935745, 14.844070, 8.348675, 9.000412, 0.017058, 1.659795, 0.005623
B20a, N, 50.000000, 165.935745, 14.844070, 3.822264, 4.188767, 0.017516, 1.947219, 0.012872
B20a, N, 7.000000, 165.935745, 14.844070, 20.754258, 22.978908, 0.021192, 2.191467, 0.009000
B10a, C, 10.000000, 102.566864, 7.884386, 10.422155, 11.146407, 0.009894, 1.550079, 0.002584
B10a, C, 15.000000, 102.566864, 7.884386, 7.193576, 7.750308, 0.007583, 1.651236, 0.002605
B10a, C, 20.000000, 102.566864, 7.884386, 5.512335, 5.976748, 0.006738, 1.750010, 0.002926
B10a, C, 30.000000, 102.566864, 7.884386, 3.594158, 3.898119, 0.003262, 1.755041, 0.002043
B10a, C, 40.000000, 102.566864, 7.884386, 2.659445, 2.883825, 0.002965, 1.751941, 0.002407
B10a, C, 4.000000, 102.566864, 7.884386, 22.061596, 24.944900, 0.028967, 2.929431, 0.022044
B10a, C, 5.000000, 102.566864, 7.884386, 18.887484, 20.825781, 0.023261, 2.088632, 0.009498
B10a, C, 7.000000, 102.566864, 7.884386, 14.763462, 16.009552, 0.018087, 1.753447, 0.005335
B15a, C, 10.000000, 182.673721, 15.125042, 17.751492, 19.121666, 0.022556, 1.654789, 0.005548
B15a, C, 15.000000, 182.673721, 15.125042, 12.198573, 13.033997, 0.012883, 1.541271, 0.003002
B15a, C, 20.000000, 182.673721, 15.125042, 9.444095, 10.100480, 0.012156, 1.550185, 0.003233
B15a, C, 30.000000, 182.673721, 15.125042, 6.433761, 6.931199, 0.006574, 1.650171, 0.002348
B15a, C, 40.000000, 182.673721, 15.125042, 4.978630, 5.398750, 0.006150, 1.755140, 0.002868
B15a, C, 7.000000, 182.673721, 15.125042, 22.510099, 25.043861, 0.035724, 2.324623, 0.018106
B20a, C, 10.000000, 140.659027, 10.510295, 14.147093, 15.130020, 0.016197, 1.549930, 0.003662
B20a, C, 15.000000, 140.659027, 10.510295, 9.650016, 10.389751, 0.010334, 1.640636, 0.002898
B20a, C, 20.000000, 140.659027, 10.510295, 7.430694, 8.056498, 0.010798, 1.749552, 0.003780
B20a, C, 30.000000, 140.659027, 10.510295, 4.956276, 5.380507, 0.005688, 1.770392, 0.002747
B20a, C, 40.000000, 140.659027, 10.510295, 3.652023, 3.959907, 0.004374, 1.750878, 0.002646
B20a, C, 5.000000, 140.659027, 10.510295, 24.063466, 27.575916, 0.050428, 3.759343, 0.064832
B20a, C, 7.000000, 140.659027, 10.510295, 19.567294, 21.394126, 0.026084, 1.906072, 0.008677
C10, H, 10.000000, 17.701164, 1.121281, 1.939651, 2.126507, 0.007154, 1.955471, 0.011198
C10, H, 20.000000, 17.701164, 1.121281, 0.874731, 0.951403, 0.004489, 1.802090, 0.012458
C10, H, 30.000000, 17.701164, 1.121281, 0.565898, 0.611900, 0.002279, 1.703514, 0.008274
C10, H, 40.000000, 17.701164, 1.121281, 0.412866, 0.441976, 0.001903, 1.553502, 0.008237
C10, H, 5.000000, 17.701164, 1.121281, 3.653280, 3.961449, 0.006550, 1.751653, 0.005007
C13, H, 10.000000, 22.991264, 0.436693, 2.355504, 2.568961, 0.007619, 1.852664, 0.009049
C13, H, 20.000000, 22.991264, 0.436693, 1.155797, 1.266522, 0.004710, 1.945593, 0.011518
C13, H, 30.000000, 22.991264, 0.436693, 0.762484, 0.831464, 0.002347, 1.849797, 0.007709
C13, H, 40.000000, 22.991264, 0.436693, 0.570653, 0.619438, 0.001984, 1.767511, 0.008388
C13, H, 50.000000, 22.991264, 0.436693, 0.445980, 0.482535, 0.002177, 1.711943, 0.012105
